temperature_C,th1_adc_V,th2_adc_V,open_V,short_V
0,2.4473813453829454,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
1,2.4180559859514004,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
2,2.388317830099187,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
3,2.3581895656006338,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
4,2.3276948389991876,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
5,2.2968581771693213,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
6,2.265704903970224,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
7,2.2342610525929345,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
8,2.202553274245424,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
9,2.1706087438545345,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
10,2.138455063489816,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
11,2.1061201642311675,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
12,2.0736322072100886,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
13,2.041019484553002,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
14,2.0083103209448,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
15,1.975532976511693,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
16,1.9427155516954464,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
17,1.909885894756165,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
18,1.8770715124994373,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
19,1.8442994847761318,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
20,1.811596383250629,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
21,1.7789881948767905,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
22,1.7465002504613965,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
23,1.7141571586332303,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
24,1.6819827454734184,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
25,1.65,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
26,1.6182310256380352,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
27,1.5866969977464462,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
28,1.5554181272153231,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
29,1.5244136300929458,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
30,1.4937017031510849,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
31,1.463299505250619,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
