source_V,lumped_path_ohm,assumed_limit_A,assumed_fan_start_A,assumed_aux_A,fans,stagger_s,peak_demand_A,running_A,peak_bus_V_if_not_limited,steady_bus_V,optimistic_100uF_hold_up_to_10_8V_s,classification
11.4,0.25,2.0,1.1,0.05,1,5,1.1500000000000001,0.6000000000000001,11.1125,11.25,,within_provisional_envelope
11.4,0.25,2.0,1.1,0.05,2,0,2.25,1.1500000000000001,,11.1125,0.00023999999999999987,current_capacity_exceeded
11.4,0.25,2.0,1.1,0.05,2,5,1.7000000000000002,1.1500000000000001,10.975,11.1125,,within_provisional_envelope
11.4,0.25,2.0,1.1,0.1,1,0,1.2000000000000002,0.65,11.1,11.2375,,within_provisional_envelope
11.4,0.25,2.0,1.1,0.1,1,5,1.2000000000000002,0.65,11.1,11.2375,,within_provisional_envelope
11.4,0.25,2.0,1.1,0.1,2,0,2.3000000000000003,1.2000000000000002,,11.1,0.0001999999999999997,current_capacity_exceeded
11.4,0.25,2.0,1.1,0.1,2,5,1.7500000000000002,1.2000000000000002,10.9625,11.1,,within_provisional_envelope
11.4,0.25,2.0,1.65,0.05,1,0,1.7,0.6000000000000001,10.975,11.25,,within_provisional_envelope
11.4,0.25,2.0,1.65,0.05,1,5,1.7,0.6000000000000001,10.975,11.25,,within_provisional_envelope
11.4,0.25,2.0,1.65,0.05,2,0,3.3499999999999996,1.1500000000000001,,11.1125,4.444444444444443e-05,current_capacity_exceeded
11.4,0.25,2.0,1.65,0.05,2,5,2.25,1.1500000000000001,,11.1125,0.00023999999999999987,current_capacity_exceeded
11.4,0.25,2.0,1.65,0.1,1,0,1.75,0.65,10.9625,11.2375,,within_provisional_envelope
11.4,0.25,2.0,1.65,0.1,1,5,1.75,0.65,10.9625,11.2375,,within_provisional_envelope
11.4,0.25,2.0,1.65,0.1,2,0,3.4,1.2000000000000002,,11.1,4.2857142857142836e-05,current_capacity_exceeded
11.4,0.25,2.0,1.65,0.1,2,5,2.3000000000000003,1.2000000000000002,,11.1,0.0001999999999999997,current_capacity_exceeded
11.4,0.25,3.0,0.55,0.05,1,0,0.6000000000000001,0.6000000000000001,11.25,11.25,,within_provisional_envelope
11.4,0.25,3.0,0.55,0.05,1,5,0.6000000000000001,0.6000000000000001,11.25,11.25,,within_provisional_envelope
11.4,0.25,3.0,0.55,0.05,2,0,1.1500000000000001,1.1500000000000001,11.1125,11.1125,,within_provisional_envelope
11.4,0.25,3.0,0.55,0.05,2,5,1.1500000000000001,1.1500000000000001,11.1125,11.1125,,within_provisional_envelope
11.4,0.25,3.0,0.55,0.1,1,0,0.65,0.65,11.2375,11.2375,,within_provisional_envelope
11.4,0.25,3.0,0.55,0.1,1,5,0.65,0.65,11.2375,11.2375,,within_provisional_envelope
11.4,0.25,3.0,0.55,0.1,2,0,1.2000000000000002,1.2000000000000002,11.1,11.1,,within_provisional_envelope
11.4,0.25,3.0,0.55,0.1,2,5,1.2000000000000002,1.2000000000000002,11.1,11.1,,within_provisional_envelope
11.4,0.25,3.0,1.1,0.05,1,0,1.1500000000000001,0.6000000000000001,11.1125,11.25,,within_provisional_envelope
11.4,0.25,3.0,1.1,0.05,1,5,1.1500000000000001,0.6000000000000001,11.1125,11.25,,within_provisional_envelope
11.4,0.25,3.0,1.1,0.05,2,0,2.25,1.1500000000000001,10.8375,11.1125,,within_provisional_envelope
11.4,0.25,3.0,1.1,0.05,2,5,1.7000000000000002,1.1500000000000001,10.975,11.1125,,within_provisional_envelope
11.4,0.25,3.0,1.1,0.1,1,0,1.2000000000000002,0.65,11.1,11.2375,,within_provisional_envelope
11.4,0.25,3.0,1.1,0.1,1,5,1.2000000000000002,0.65,11.1,11.2375,,within_provisional_envelope
11.4,0.25,3.0,1.1,0.1,2,0,2.3000000000000003,1.2000000000000002,10.825000000000001,11.1,,within_provisional_envelope
11.4,0.25,3.0,1.1,0.1,2,5,1.7500000000000002,1.2000000000000002,10.9625,11.1,,within_provisional_envelope
11.4,0.25,3.0,1.65,0.05,1,0,1.7,0.6000000000000001,10.975,11.25,,within_provisional_envelope
11.4,0.25,3.0,1.65,0.05,1,5,1.7,0.6000000000000001,10.975,11.25,,within_provisional_envelope
11.4,0.25,3.0,1.65,0.05,2,0,3.3499999999999996,1.1500000000000001,,11.1125,0.0001714285714285715,current_capacity_exceeded
11.4,0.25,3.0,1.65,0.05,2,5,2.25,1.1500000000000001,10.8375,11.1125,,within_provisional_envelope
11.4,0.25,3.0,1.65,0.1,1,0,1.75,0.65,10.9625,11.2375,,within_provisional_envelope
11.4,0.25,3.0,1.65,0.1,1,5,1.75,0.65,10.9625,11.2375,,within_provisional_envelope
11.4,0.25,3.0,1.65,0.1,2,0,3.4,1.2000000000000002,,11.1,0.00014999999999999996,current_capacity_exceeded
11.4,0.25,3.0,1.65,0.1,2,5,2.3000000000000003,1.2000000000000002,10.825000000000001,11.1,,within_provisional_envelope
11.4,0.25,4.0,0.55,0.05,1,0,0.6000000000000001,0.6000000000000001,11.25,11.25,,within_provisional_envelope
11.4,0.25,4.0,0.55,0.05,1,5,0.6000000000000001,0.6000000000000001,11.25,11.25,,within_provisional_envelope
11.4,0.25,4.0,0.55,0.05,2,0,1.1500000000000001,1.1500000000000001,11.1125,11.1125,,within_provisional_envelope
11.4,0.25,4.0,0.55,0.05,2,5,1.1500000000000001,1.1500000000000001,11.1125,11.1125,,within_provisional_envelope
11.4,0.25,4.0,0.55,0.1,1,0,0.65,0.65,11.2375,11.2375,,within_provisional_envelope
11.4,0.25,4.0,0.55,0.1,1,5,0.65,0.65,11.2375,11.2375,,within_provisional_envelope
11.4,0.25,4.0,0.55,0.1,2,0,1.2000000000000002,1.2000000000000002,11.1,11.1,,within_provisional_envelope
11.4,0.25,4.0,0.55,0.1,2,5,1.2000000000000002,1.2000000000000002,11.1,11.1,,within_provisional_envelope
11.4,0.25,4.0,1.1,0.05,1,0,1.1500000000000001,0.6000000000000001,11.1125,11.25,,within_provisional_envelope
11.4,0.25,4.0,1.1,0.05,1,5,1.1500000000000001,0.6000000000000001,11.1125,11.25,,within_provisional_envelope
11.4,0.25,4.0,1.1,0.05,2,0,2.25,1.1500000000000001,10.8375,11.1125,,within_provisional_envelope
11.4,0.25,4.0,1.1,0.05,2,5,1.7000000000000002,1.1500000000000001,10.975,11.1125,,within_provisional_envelope
11.4,0.25,4.0,1.1,0.1,1,0,1.2000000000000002,0.65,11.1,11.2375,,within_provisional_envelope
11.4,0.25,4.0,1.1,0.1,1,5,1.2000000000000002,0.65,11.1,11.2375,,within_provisional_envelope
11.4,0.25,4.0,1.1,0.1,2,0,2.3000000000000003,1.2000000000000002,10.825000000000001,11.1,,within_provisional_envelope
11.4,0.25,4.0,1.1,0.1,2,5,1.7500000000000002,1.2000000000000002,10.9625,11.1,,within_provisional_envelope
11.4,0.25,4.0,1.65,0.05,1,0,1.7,0.6000000000000001,10.975,11.25,,within_provisional_envelope
11.4,0.25,4.0,1.65,0.05,1,5,1.7,0.6000000000000001,10.975,11.25,,within_provisional_envelope
11.4,0.25,4.0,1.65,0.05,2,0,3.3499999999999996,1.1500000000000001,10.5625,11.1125,,below_provisional_10.8V_target
11.4,0.25,4.0,1.65,0.05,2,5,2.25,1.1500000000000001,10.8375,11.1125,,within_provisional_envelope
11.4,0.25,4.0,1.65,0.1,1,0,1.75,0.65,10.9625,11.2375,,within_provisional_envelope
11.4,0.25,4.0,1.65,0.1,1,5,1.75,0.65,10.9625,11.2375,,within_provisional_envelope
11.4,0.25,4.0,1.65,0.1,2,0,3.4,1.2000000000000002,10.55,11.1,,below_provisional_10.8V_target
11.4,0.25,4.0,1.65,0.1,2,5,2.3000000000000003,1.2000000000000002,10.825000000000001,11.1,,within_provisional_envelope
11.4,0.5,2.0,0.55,0.05,1,0,0.6000000000000001,0.6000000000000001,11.1,11.1,,within_provisional_envelope
11.4,0.5,2.0,0.55,0.05,1,5,0.6000000000000001,0.6000000000000001,11.1,11.1,,within_provisional_envelope
11.4,0.5,2.0,0.55,0.05,2,0,1.1500000000000001,1.1500000000000001,10.825000000000001,10.825000000000001,,within_provisional_envelope
11.4,0.5,2.0,0.55,0.05,2,5,1.1500000000000001,1.1500000000000001,10.825000000000001,10.825000000000001,,within_provisional_envelope
11.4,0.5,2.0,0.55,0.1,1,0,0.65,0.65,11.075000000000001,11.075000000000001,,within_provisional_envelope
11.4,0.5,2.0,0.55,0.1,1,5,0.65,0.65,11.075000000000001,11.075000000000001,,within_provisional_envelope
11.4,0.5,2.0,0.55,0.1,2,0,1.2000000000000002,1.2000000000000002,10.8,10.8,,within_provisional_envelope
11.4,0.5,2.0,0.55,0.1,2,5,1.2000000000000002,1.2000000000000002,10.8,10.8,,within_provisional_envelope
11.4,0.5,2.0,1.1,0.05,1,0,1.1500000000000001,0.6000000000000001,10.825000000000001,11.1,,within_provisional_envelope
11.4,0.5,2.0,1.1,0.05,1,5,1.1500000000000001,0.6000000000000001,10.825000000000001,11.1,,within_provisional_envelope
11.4,0.5,2.0,1.1,0.05,2,0,2.25,1.1500000000000001,,10.825000000000001,0.00023999999999999987,current_capacity_exceeded
11.4,0.5,2.0,1.1,0.05,2,5,1.7000000000000002,1.1500000000000001,10.55,10.825000000000001,,below_provisional_10.8V_target
11.4,0.5,2.0,1.1,0.1,1,0,1.2000000000000002,0.65,10.8,11.075000000000001,,within_provisional_envelope
11.4,0.5,2.0,1.1,0.1,1,5,1.2000000000000002,0.65,10.8,11.075000000000001,,within_provisional_envelope
11.4,0.5,2.0,1.1,0.1,2,0,2.3000000000000003,1.2000000000000002,,10.8,0.0001999999999999997,current_capacity_exceeded
11.4,0.5,2.0,1.1,0.1,2,5,1.7500000000000002,1.2000000000000002,10.525,10.8,,below_provisional_10.8V_target
11.4,0.5,2.0,1.65,0.05,1,0,1.7,0.6000000000000001,10.55,11.1,,below_provisional_10.8V_target
11.4,0.5,2.0,1.65,0.05,1,5,1.7,0.6000000000000001,10.55,11.1,,below_provisional_10.8V_target
11.4,0.5,2.0,1.65,0.05,2,0,3.3499999999999996,1.1500000000000001,,10.825000000000001,4.444444444444443e-05,current_capacity_exceeded
11.4,0.5,2.0,1.65,0.05,2,5,2.25,1.1500000000000001,,10.825000000000001,0.00023999999999999987,current_capacity_exceeded
11.4,0.5,2.0,1.65,0.1,1,0,1.75,0.65,10.525,11.075000000000001,,below_provisional_10.8V_target
11.4,0.5,2.0,1.65,0.1,1,5,1.75,0.65,10.525,11.075000000000001,,below_provisional_10.8V_target
11.4,0.5,2.0,1.65,0.1,2,0,3.4,1.2000000000000002,,10.8,4.2857142857142836e-05,current_capacity_exceeded
11.4,0.5,2.0,1.65,0.1,2,5,2.3000000000000003,1.2000000000000002,,10.8,0.0001999999999999997,current_capacity_exceeded
11.4,0.5,3.0,0.55,0.05,1,0,0.6000000000000001,0.6000000000000001,11.1,11.1,,within_provisional_envelope
11.4,0.5,3.0,0.55,0.05,1,5,0.6000000000000001,0.6000000000000001,11.1,11.1,,within_provisional_envelope
11.4,0.5,3.0,0.55,0.05,2,0,1.1500000000000001,1.1500000000000001,10.825000000000001,10.825000000000001,,within_provisional_envelope
11.4,0.5,3.0,0.55,0.05,2,5,1.1500000000000001,1.1500000000000001,10.825000000000001,10.825000000000001,,within_provisional_envelope
11.4,0.5,3.0,0.55,0.1,1,0,0.65,0.65,11.075000000000001,11.075000000000001,,within_provisional_envelope
11.4,0.5,3.0,0.55,0.1,1,5,0.65,0.65,11.075000000000001,11.075000000000001,,within_provisional_envelope
11.4,0.5,3.0,0.55,0.1,2,0,1.2000000000000002,1.2000000000000002,10.8,10.8,,within_provisional_envelope
11.4,0.5,3.0,0.55,0.1,2,5,1.2000000000000002,1.2000000000000002,10.8,10.8,,within_provisional_envelope
11.4,0.5,3.0,1.1,0.05,1,0,1.1500000000000001,0.6000000000000001,10.825000000000001,11.1,,within_provisional_envelope
11.4,0.5,3.0,1.1,0.05,1,5,1.1500000000000001,0.6000000000000001,10.825000000000001,11.1,,within_provisional_envelope
11.4,0.5,3.0,1.1,0.05,2,0,2.25,1.1500000000000001,10.275,10.825000000000001,,below_provisional_10.8V_target
11.4,0.5,3.0,1.1,0.05,2,5,1.7000000000000002,1.1500000000000001,10.55,10.825000000000001,,below_provisional_10.8V_target
11.4,0.5,3.0,1.1,0.1,1,0,1.2000000000000002,0.65,10.8,11.075000000000001,,within_provisional_envelope
11.4,0.5,3.0,1.1,0.1,1,5,1.2000000000000002,0.65,10.8,11.075000000000001,,within_provisional_envelope
11.4,0.5,3.0,1.1,0.1,2,0,2.3000000000000003,1.2000000000000002,10.25,10.8,,below_provisional_10.8V_target
11.4,0.5,3.0,1.1,0.1,2,5,1.7500000000000002,1.2000000000000002,10.525,10.8,,below_provisional_10.8V_target
11.4,0.5,3.0,1.65,0.05,1,0,1.7,0.6000000000000001,10.55,11.1,,below_provisional_10.8V_target
11.4,0.5,3.0,1.65,0.05,1,5,1.7,0.6000000000000001,10.55,11.1,,below_provisional_10.8V_target
11.4,0.5,3.0,1.65,0.05,2,0,3.3499999999999996,1.1500000000000001,,10.825000000000001,0.0001714285714285715,current_capacity_exceeded
11.4,0.5,3.0,1.65,0.05,2,5,2.25,1.1500000000000001,10.275,10.825000000000001,,below_provisional_10.8V_target
11.4,0.5,3.0,1.65,0.1,1,0,1.75,0.65,10.525,11.075000000000001,,below_provisional_10.8V_target
11.4,0.5,3.0,1.65,0.1,1,5,1.75,0.65,10.525,11.075000000000001,,below_provisional_10.8V_target
11.4,0.5,3.0,1.65,0.1,2,0,3.4,1.2000000000000002,,10.8,0.00014999999999999996,current_capacity_exceeded
11.4,0.5,3.0,1.65,0.1,2,5,2.3000000000000003,1.2000000000000002,10.25,10.8,,below_provisional_10.8V_target
