time_s,fan_supply_V,source_A
0.0,11.975,0.05000000000000071
1e-05,11.974999999999998,0.05000000000000426
2e-05,11.974999999999998,0.05000000000000426
4e-05,11.975000000000001,0.04999999999999716
8e-05,11.975000000000003,0.049999999999993605
0.00016,11.975000000000003,0.049999999999993605
0.00032,11.975000000000001,0.04999999999999716
0.00064,11.975000000000001,0.04999999999999716
0.00128,11.975,0.05000000000000071
0.00228,11.974999999999998,0.05000000000000426
0.00328,11.975,0.05000000000000071
0.00428,11.975,0.05000000000000071
0.00528,11.975,0.05000000000000071
0.00628,11.975,0.05000000000000071
0.00728,11.975,0.05000000000000071
0.00828,11.975,0.05000000000000071
0.00928,11.975,0.05000000000000071
0.010280000000000001,11.975,0.05000000000000071
0.011280000000000002,11.975,0.05000000000000071
0.012280000000000003,11.975,0.05000000000000071
0.013280000000000004,11.975,0.05000000000000071
0.014280000000000004,11.975,0.05000000000000071
0.015280000000000005,11.975,0.05000000000000071
0.016280000000000006,11.975,0.05000000000000071
0.017280000000000007,11.975,0.05000000000000071
0.018280000000000008,11.975,0.05000000000000071
0.01928000000000001,11.975,0.05000000000000071
0.02028000000000001,11.975,0.05000000000000071
0.02128000000000001,11.975,0.05000000000000071
0.02228000000000001,11.975,0.05000000000000071
0.023280000000000012,11.975,0.05000000000000071
0.024280000000000013,11.975,0.05000000000000071
0.025280000000000014,11.975,0.05000000000000071
0.026280000000000015,11.975,0.05000000000000071
0.027280000000000016,11.975,0.05000000000000071
0.028280000000000017,11.975,0.05000000000000071
0.029280000000000018,11.975,0.05000000000000071
0.03028000000000002,11.975,0.05000000000000071
0.031280000000000016,11.975,0.05000000000000071
0.03228000000000002,11.975,0.05000000000000071
0.03328000000000002,11.975,0.05000000000000071
0.03428000000000002,11.975,0.05000000000000071
0.03528000000000002,11.975,0.05000000000000071
0.03628000000000002,11.975,0.05000000000000071
0.03728000000000002,11.975,0.05000000000000071
0.03828000000000002,11.975,0.05000000000000071
0.03928000000000002,11.975,0.05000000000000071
0.040280000000000024,11.975,0.05000000000000071
0.041280000000000025,11.975,0.05000000000000071
0.042280000000000026,11.975,0.05000000000000071
0.04328000000000003,11.975,0.05000000000000071
0.04428000000000003,11.975,0.05000000000000071
0.04528000000000003,11.975,0.05000000000000071
0.04628000000000003,11.975,0.05000000000000071
0.04728000000000003,11.975,0.05000000000000071
0.04828000000000003,11.975,0.05000000000000071
0.04928000000000003,11.975,0.05000000000000071
0.05028000000000003,11.975,0.05000000000000071
0.051280000000000034,11.975,0.05000000000000071
0.052280000000000035,11.975,0.05000000000000071
0.053280000000000036,11.975,0.05000000000000071
0.05428000000000004,11.975,0.05000000000000071
0.05528000000000004,11.975,0.05000000000000071
0.05628000000000004,11.975,0.05000000000000071
0.05728000000000004,11.975,0.05000000000000071
0.05828000000000004,11.975,0.05000000000000071
0.05928000000000004,11.975,0.05000000000000071
0.06028000000000004,11.975,0.05000000000000071
0.06128000000000004,11.975,0.05000000000000071
0.062280000000000044,11.975,0.05000000000000071
0.06328000000000004,11.975,0.05000000000000071
0.06428000000000005,11.975,0.05000000000000071
0.06528000000000005,11.975,0.05000000000000071
0.06628000000000005,11.975,0.05000000000000071
0.06728000000000005,11.975,0.05000000000000071
0.06828000000000005,11.975,0.05000000000000071
0.06928000000000005,11.975,0.05000000000000071
0.07028000000000005,11.975,0.05000000000000071
0.07128000000000005,11.975,0.05000000000000071
0.07228000000000005,11.975,0.05000000000000071
0.07328000000000005,11.975,0.05000000000000071
0.07428000000000005,11.975,0.05000000000000071
0.07528000000000006,11.975,0.05000000000000071
0.07628000000000006,11.975,0.05000000000000071
0.07728000000000006,11.975,0.05000000000000071
0.07828000000000006,11.975,0.05000000000000071
0.07928000000000006,11.975,0.05000000000000071
0.08028000000000006,11.975,0.05000000000000071
0.08128000000000006,11.975,0.05000000000000071
0.08228000000000006,11.975,0.05000000000000071
0.08328000000000006,11.975,0.05000000000000071
0.08428000000000006,11.975,0.05000000000000071
0.08528000000000006,11.975,0.05000000000000071
0.08628000000000006,11.975,0.05000000000000071
0.08728000000000007,11.975,0.05000000000000071
0.08828000000000007,11.975,0.05000000000000071
0.08928000000000007,11.975,0.05000000000000071
0.09028000000000007,11.975,0.05000000000000071
0.09128000000000007,11.975,0.05000000000000071
0.09228000000000007,11.975,0.05000000000000071
0.09328000000000007,11.975,0.05000000000000071
0.09428000000000007,11.975,0.05000000000000071
0.09528000000000007,11.975,0.05000000000000071
0.09628000000000007,11.975,0.05000000000000071
0.09728000000000007,11.975,0.05000000000000071
0.09828000000000008,11.975,0.05000000000000071
0.09914000000000003,11.975,0.05000000000000071
0.09999999999999999,11.975000000000001,0.04999999999999716
0.1000002194690909,11.974998944963955,0.05000211007208932
0.10000065840727272,11.97499431607263,0.05001136785474003
0.10000153628363635,11.974973093995693,0.05005381200861336
0.10000329203636363,11.974882300132434,0.0502353997351328
0.10000680354181818,11.974514755410597,0.05097048917880542
0.10001382655272727,11.97309914327859,0.05380171344281948
