time_s,gpio_V,fan_pwm_V,reset_pwm_V
0.0,0.0,4.999999999999557,4.999999999999556
5e-10,0.0,4.999999999999556,4.999999999999556
1e-09,0.0,4.999999999999555,4.999999999999556
2e-09,0.0,4.999999999999554,4.999999999999556
4e-09,0.0,4.999999999999554,4.999999999999556
8e-09,0.0,4.999999999999555,4.999999999999556
1.6e-08,0.0,4.999999999999556,4.999999999999555
3.2e-08,0.0,4.999999999999554,4.999999999999553
6.4e-08,0.0,4.999999999999556,4.999999999999555
1.1400000000000001e-07,0.0,4.999999999999555,4.999999999999557
1.64e-07,0.0,4.999999999999554,4.999999999999556
2.14e-07,0.0,4.999999999999553,4.999999999999556
2.6400000000000003e-07,0.0,4.999999999999553,4.999999999999556
3.1400000000000003e-07,0.0,4.999999999999554,4.999999999999556
3.6400000000000003e-07,0.0,4.999999999999555,4.999999999999556
4.1400000000000003e-07,0.0,4.999999999999555,4.999999999999556
4.64e-07,0.0,4.999999999999554,4.999999999999556
5.140000000000001e-07,0.0,4.999999999999553,4.999999999999556
5.640000000000001e-07,0.0,4.999999999999553,4.999999999999556
6.140000000000002e-07,0.0,4.999999999999554,4.999999999999556
6.640000000000002e-07,0.0,4.999999999999555,4.999999999999556
7.140000000000003e-07,0.0,4.999999999999555,4.999999999999556
7.640000000000003e-07,0.0,4.999999999999554,4.999999999999556
8.140000000000004e-07,0.0,4.999999999999553,4.999999999999556
8.640000000000004e-07,0.0,4.999999999999553,4.999999999999556
9.140000000000005e-07,0.0,4.999999999999554,4.999999999999556
9.640000000000004e-07,0.0,4.999999999999555,4.999999999999556
1.0140000000000004e-06,0.0,4.999999999999555,4.999999999999556
1.0640000000000003e-06,0.0,4.999999999999554,4.999999999999556
1.1140000000000003e-06,0.0,4.999999999999553,4.999999999999556
1.1640000000000002e-06,0.0,4.999999999999553,4.999999999999556
1.2140000000000002e-06,0.0,4.999999999999554,4.999999999999556
1.264e-06,0.0,4.999999999999555,4.999999999999556
1.314e-06,0.0,4.999999999999555,4.999999999999556
1.364e-06,0.0,4.999999999999554,4.999999999999556
1.414e-06,0.0,4.999999999999553,4.999999999999556
1.4639999999999999e-06,0.0,4.999999999999553,4.999999999999556
1.5139999999999998e-06,0.0,4.999999999999554,4.999999999999556
1.5639999999999998e-06,0.0,4.999999999999555,4.999999999999556
1.6139999999999997e-06,0.0,4.999999999999555,4.999999999999556
1.6639999999999997e-06,0.0,4.999999999999554,4.999999999999556
1.7139999999999996e-06,0.0,4.999999999999553,4.999999999999556
1.7639999999999995e-06,0.0,4.999999999999553,4.999999999999556
1.8139999999999995e-06,0.0,4.999999999999554,4.999999999999556
1.8639999999999994e-06,0.0,4.999999999999555,4.999999999999556
1.9139999999999994e-06,0.0,4.999999999999555,4.999999999999556
1.9639999999999993e-06,0.0,4.999999999999554,4.999999999999556
2.0139999999999993e-06,0.0,4.999999999999553,4.999999999999556
2.0639999999999992e-06,0.0,4.999999999999553,4.999999999999556
2.113999999999999e-06,0.0,4.999999999999554,4.999999999999556
2.163999999999999e-06,0.0,4.999999999999555,4.999999999999556
2.213999999999999e-06,0.0,4.999999999999555,4.999999999999556
2.263999999999999e-06,0.0,4.999999999999554,4.999999999999556
2.313999999999999e-06,0.0,4.999999999999553,4.999999999999556
2.363999999999999e-06,0.0,4.999999999999553,4.999999999999556
2.413999999999999e-06,0.0,4.999999999999554,4.999999999999556
2.4639999999999988e-06,0.0,4.999999999999555,4.999999999999556
2.5139999999999987e-06,0.0,4.999999999999555,4.999999999999556
2.5639999999999987e-06,0.0,4.999999999999554,4.999999999999556
2.6139999999999986e-06,0.0,4.999999999999553,4.999999999999556
2.6639999999999985e-06,0.0,4.999999999999553,4.999999999999556
2.7139999999999985e-06,0.0,4.999999999999554,4.999999999999556
2.7639999999999984e-06,0.0,4.999999999999555,4.999999999999556
2.8139999999999984e-06,0.0,4.999999999999555,4.999999999999556
2.8639999999999983e-06,0.0,4.999999999999554,4.999999999999556
2.9139999999999983e-06,0.0,4.999999999999553,4.999999999999556
2.9639999999999982e-06,0.0,4.999999999999553,4.999999999999556
3.013999999999998e-06,0.0,4.999999999999554,4.999999999999556
3.063999999999998e-06,0.0,4.999999999999555,4.999999999999556
3.113999999999998e-06,0.0,4.999999999999555,4.999999999999556
3.163999999999998e-06,0.0,4.999999999999554,4.999999999999556
3.213999999999998e-06,0.0,4.999999999999553,4.999999999999556
3.263999999999998e-06,0.0,4.999999999999553,4.999999999999556
3.313999999999998e-06,0.0,4.999999999999554,4.999999999999556
3.3639999999999978e-06,0.0,4.999999999999555,4.999999999999556
3.4139999999999977e-06,0.0,4.999999999999555,4.999999999999556
3.4639999999999977e-06,0.0,4.999999999999554,4.999999999999556
3.5139999999999976e-06,0.0,4.999999999999553,4.999999999999556
3.5639999999999976e-06,0.0,4.999999999999553,4.999999999999556
3.6139999999999975e-06,0.0,4.999999999999554,4.999999999999556
3.6639999999999974e-06,0.0,4.999999999999555,4.999999999999556
3.7139999999999974e-06,0.0,4.999999999999555,4.999999999999556
3.7639999999999973e-06,0.0,4.999999999999554,4.999999999999556
3.8139999999999973e-06,0.0,4.999999999999553,4.999999999999556
3.863999999999997e-06,0.0,4.999999999999553,4.999999999999556
3.913999999999998e-06,0.0,4.999999999999554,4.999999999999556
3.963999999999998e-06,0.0,4.999999999999555,4.999999999999556
4.013999999999998e-06,0.0,4.999999999999555,4.999999999999556
4.063999999999999e-06,0.0,4.999999999999554,4.999999999999556
4.113999999999999e-06,0.0,4.999999999999553,4.999999999999556
4.1639999999999994e-06,0.0,4.999999999999553,4.999999999999556
4.214e-06,0.0,4.999999999999554,4.999999999999556
4.264e-06,0.0,4.999999999999555,4.999999999999556
4.3140000000000005e-06,0.0,4.999999999999555,4.999999999999556
4.364000000000001e-06,0.0,4.999999999999554,4.999999999999556
4.414000000000001e-06,0.0,4.999999999999553,4.999999999999556
4.464000000000002e-06,0.0,4.999999999999553,4.999999999999556
4.514000000000002e-06,0.0,4.999999999999554,4.999999999999556
4.564000000000002e-06,0.0,4.999999999999555,4.999999999999556
4.614000000000003e-06,0.0,4.999999999999555,4.999999999999556
4.664000000000003e-06,0.0,4.999999999999554,4.999999999999556
4.7140000000000035e-06,0.0,4.999999999999553,4.999999999999556
4.764000000000004e-06,0.0,4.999999999999553,4.999999999999556
4.814000000000004e-06,0.0,4.999999999999554,4.999999999999556
4.864000000000005e-06,0.0,4.999999999999555,4.999999999999556
4.914000000000005e-06,0.0,4.999999999999555,4.999999999999556
4.964000000000005e-06,0.0,4.999999999999554,4.999999999999556
5.014000000000006e-06,0.0,4.999999999999553,4.999999999999556
5.064000000000006e-06,0.0,4.999999999999553,4.999999999999556
5.1140000000000064e-06,0.0,4.999999999999554,4.999999999999556
5.164000000000007e-06,0.0,4.999999999999555,4.999999999999556
5.214000000000007e-06,0.0,4.999999999999555,4.999999999999556
5.2640000000000075e-06,0.0,4.999999999999554,4.999999999999556
5.314000000000008e-06,0.0,4.999999999999553,4.999999999999556
5.364000000000008e-06,0.0,4.999999999999553,4.999999999999556
5.414000000000009e-06,0.0,4.999999999999554,4.999999999999556
5.464000000000009e-06,0.0,4.999999999999555,4.999999999999556
5.514000000000009e-06,0.0,4.999999999999555,4.999999999999556
5.56400000000001e-06,0.0,4.999999999999554,4.999999999999556
5.61400000000001e-06,0.0,4.999999999999553,4.999999999999556
5.6640000000000105e-06,0.0,4.999999999999553,4.999999999999556
5.714000000000011e-06,0.0,4.999999999999554,4.999999999999556
5.764000000000011e-06,0.0,4.999999999999555,4.999999999999556
5.814000000000012e-06,0.0,4.999999999999555,4.999999999999556
5.864000000000012e-06,0.0,4.999999999999554,4.999999999999556
5.914000000000012e-06,0.0,4.999999999999553,4.999999999999556
5.964000000000013e-06,0.0,4.999999999999553,4.999999999999556
6.014000000000013e-06,0.0,4.999999999999554,4.999999999999556
6.0640000000000134e-06,0.0,4.999999999999555,4.999999999999556
6.114000000000014e-06,0.0,4.999999999999555,4.999999999999556
6.164000000000014e-06,0.0,4.999999999999554,4.999999999999556
6.2140000000000145e-06,0.0,4.999999999999553,4.999999999999556
6.264000000000015e-06,0.0,4.999999999999553,4.999999999999556
6.314000000000015e-06,0.0,4.999999999999554,4.999999999999556
6.364000000000016e-06,0.0,4.999999999999555,4.999999999999556
6.414000000000016e-06,0.0,4.999999999999555,4.999999999999556
6.464000000000016e-06,0.0,4.999999999999554,4.999999999999556
6.514000000000017e-06,0.0,4.999999999999553,4.999999999999556
6.564000000000017e-06,0.0,4.999999999999553,4.999999999999556
6.6140000000000175e-06,0.0,4.999999999999554,4.999999999999556
6.664000000000018e-06,0.0,4.999999999999555,4.999999999999556
6.714000000000018e-06,0.0,4.999999999999555,4.999999999999556
6.764000000000019e-06,0.0,4.999999999999554,4.999999999999556
6.814000000000019e-06,0.0,4.999999999999553,4.999999999999556
6.864000000000019e-06,0.0,4.999999999999553,4.999999999999556
6.91400000000002e-06,0.0,4.999999999999554,4.999999999999556
6.96400000000002e-06,0.0,4.999999999999555,4.999999999999556
7.0140000000000204e-06,0.0,4.999999999999555,4.999999999999556
7.064000000000021e-06,0.0,4.999999999999554,4.999999999999556
7.114000000000021e-06,0.0,4.999999999999553,4.999999999999556
7.1640000000000215e-06,0.0,4.999999999999553,4.999999999999556
7.214000000000022e-06,0.0,4.999999999999554,4.999999999999556
7.264000000000022e-06,0.0,4.999999999999555,4.999999999999556
7.314000000000023e-06,0.0,4.999999999999555,4.999999999999556
7.364000000000023e-06,0.0,4.999999999999554,4.999999999999556
7.414000000000023e-06,0.0,4.999999999999553,4.999999999999556
7.464000000000024e-06,0.0,4.999999999999553,4.999999999999556
7.514000000000024e-06,0.0,4.999999999999554,4.999999999999556
7.5640000000000245e-06,0.0,4.999999999999555,4.999999999999556
7.614000000000025e-06,0.0,4.999999999999555,4.999999999999556
7.664000000000025e-06,0.0,4.999999999999554,4.999999999999556
7.714000000000025e-06,0.0,4.999999999999553,4.999999999999556
7.764000000000024e-06,0.0,4.999999999999553,4.999999999999556
7.814000000000024e-06,0.0,4.999999999999554,4.999999999999556
7.864000000000023e-06,0.0,4.999999999999555,4.999999999999556
7.914000000000023e-06,0.0,4.999999999999555,4.999999999999556
7.964000000000022e-06,0.0,4.999999999999554,4.999999999999556
8.014000000000022e-06,0.0,4.999999999999553,4.999999999999556
8.064000000000021e-06,0.0,4.999999999999553,4.999999999999556
8.114000000000021e-06,0.0,4.999999999999554,4.999999999999556
8.16400000000002e-06,0.0,4.999999999999555,4.999999999999556
